category,rank,name,country,points,movement,profile
Mixed Doubles,1,Feng Yanzhe/Huang Dongping,,105300,,
Mixed Doubles,2,Jiang Zhenbang/Wei Yaxin,,98950,,
Mixed Doubles,3,Mathias Christiansen/Alexandra Boje,,88290,,
Mixed Doubles,4,Dechapol Puavaranukroh/Supissara Paewsampran,,87520,,
Mixed Doubles,5,Chen Tang Jie/Toh Ee Wei,,85100,,
Mixed Doubles,6,Guo Xinwa/Chen Fanghui,,78070,,
Mixed Doubles,7,Thom Gicquel/Delphine Delrue,,77740,,
Mixed Doubles,8,Tang Chun Man/Tse Ying Suet,,65890,,
Mixed Doubles,9,Cheng Xing/Zhang Chi,,61630,,
Mixed Doubles,10,Ye Hong-wei/Chan Nicole Gonzales,,59870,,
Mixed Doubles,11,Goh Soon Huat/Shevon Lai Jemie,,59480,,
Mixed Doubles,12,Jafar Hidayatullah/Felisha Alberta Nathaniel Pasaribu,,58900,,
Mixed Doubles,13,Hiroki Midorikawa/Natsu Saito,,53260,,
Mixed Doubles,14,Yuichi Shimogami/Sayaka Hobara,,52750,,
Mixed Doubles,15,Amri Syahnawi/Nita Violina Marwah,,50310,,
Mixed Doubles,16,Pakkapon Teeraratsakul/Sapsiree Taerattanachai,,50180,,
Mixed Doubles,17,Presley Smith/Jennie Gai,,49200,,
Mixed Doubles,18,Jesper Toft/Amalie Magelund,,48720,,
Mixed Doubles,19,Ruttanapak Oupthong/Jhenicha Sudjaipraparat,,48050,,
Mixed Doubles,20,Yang Po-hsuan/Hu Ling-fang,,46890,,
Mixed Doubles,21,Dhruv Kapila/Tanisha Crasto,,46270,,
Mixed Doubles,22,Mads Vestergaard/Christine Busch Andreasen,,45360,,
Mixed Doubles,23,Marwan Faza/Aisyah Salsabila Putri Pranata,,44460,,
Mixed Doubles,24,Adnan Maulana/Indah Cahya Sari Jamil,,44290,,
Mixed Doubles,25,Hoo Pang Ron/Cheng Su Yin,,43180,,
Mixed Doubles,26,Yuta Watanabe/Maya Taguchi,,41160,,
Mixed Doubles,27,Akira Koga/Natsu Saito,,40600,,
Mixed Doubles,28,Dejan Ferdinansyah/Bernadine Anindiya Wardana,,40060,,
Mixed Doubles,29,Chen Cheng Kuan/Hsu Yin-Hui,,40001,,
Mixed Doubles,30,Zhu Yijun/Li Qian,,39520,,
Mixed Doubles,31,Marvin Emil Seidel/Thuc Phuong Nguyen,,39390,,
Mixed Doubles,32,Chan Yin Chak/Ng Tsz Yau,,39270,,
Mixed Doubles,33,Jimmy Wong/Lai Pei Jing,,38580,,
Mixed Doubles,34,Gao Jiaxuan/Wu Mengying,,37930,,
