category,rank,name,country,points,movement,profile
Women's Doubles,1,Liu Shengshu/Tan Ning,,116967,,
Women's Doubles,2,Jia Yifan/Zhang Shuxian,,94360,,
Women's Doubles,3,Baek Ha Na/Lee So-hee,,92154,,
Women's Doubles,4,Yuki Fukushima/Mayu Matsumoto,,91806,,
Women's Doubles,5,Pearly Tan/Thinaah Muralitharan,,91650,,
Women's Doubles,6,Kim Hye-jeong/Kong Hee-yong,,81767,,
Women's Doubles,7,Rin Iwanaga/Kie Nakanishi,,78764,,
Women's Doubles,8,Li Yijing/Luo Xumin,,62717,,
Women's Doubles,9,Hsieh Pei Shan/Hung En-tzu,,61915,,
Women's Doubles,10,Gabriela Stoeva/Stefani Stoeva,,60426,,
Women's Doubles,11,Rui Hirokami/Sayaka Hobara,,56020,,
Women's Doubles,12,Hsu Yin-hui/Lin Jhih Yun,,54614,,
Women's Doubles,13,Rachel Allessya Rose/Febi Setianingrum,,54526,,
Women's Doubles,14,Arisa Igarashi/Chiharu Shida,,53819,,
Women's Doubles,15,Febriana Dwipuji Kusuma/Meilysa Trias Puspita Sari,,53724,,
Women's Doubles,16,Amalia Cahaya Pratiwi/Siti Fadia Silva Ramadhanti,,52723,,
Women's Doubles,17,Hsu Ya-ching/Sung Yu-Hsuan,,50649,,
Women's Doubles,18,Jeong Na-eun/Lee Yeon Woo,,49210,,
Women's Doubles,19,Hinata Suzuki/Nao Yamakita,,49007,,
Women's Doubles,20,Kaho Osawa/Mai Tanabe,,48470,,
Women's Doubles,21,Lauren Lam/Allison Lee,,47999,,
Women's Doubles,22,Ong Xin Yee/Carmen Ting,,47133,,
Women's Doubles,23,Yeung Nga Ting/Yeung Pui Lam,,46684,,
Women's Doubles,24,Chang Ching Hui/Yang Ching Tun,,45445,,
Women's Doubles,25,Margot Lambert/Camille Pognante,,45103,,
Women's Doubles,26,Nazlican Inci/Bengisu Ercetin,,45002,,
Women's Doubles,27,Francesca Corbett/Jennie Gai,,43546,,
Women's Doubles,28,Ririna Hiramoto/Kokona Ishikawa,,43400,,
Women's Doubles,29,Polina Buhrova/Yevheniia Kantemyr,,42744,,
Women's Doubles,30,Lui Lok Lok/Tsang Hiu Yan,,40094,,
Women's Doubles,31,Luo Yi/Wang Tingge,,39963,,
Women's Doubles,32,Isyana Syahira Meida/Rinjani Kwinara Nastine,,39700,,
Women's Doubles,33,Hu Ling-fang/Jheng Yu Chieh,,37780,,
Women's Doubles,34,Lin Xiao Min/Wang Yu Qiao,,36280,,
Women's Doubles,35,Julie MacPherson/Ciara Torrance,,36190,,
Women's Doubles,36,Hathaithip Mijad/Napapakorn Tungkasatan,,35673,,
Women's Doubles,37,Jackie Dent/Crystal Lai,,34306,,
Women's Doubles,38,Kavipriya Selvam/Simran Singhi,,32053,,
Women's Doubles,39,Paula Lopez/Lucia Rodriguez,,31095,,
Women's Doubles,40,Sung Shuo Yun/Yu Chien Hui,,31000,,
Women's Doubles,41,Ashwini Bhat K./Shikha Gautam,,29990,,
Women's Doubles,42,Treesa Jolly/Gayatri Gopichand Pullela,,29692,,
Women's Doubles,43,Lin Chih-Chun/Yang Chu Yun,,29640,,
Women's Doubles,44,Priya Konjengbam/Shruti Mishra,,29245,,
Women's Doubles,45,Go Pei Kee/Teoh Mei Xing,,29130,,
Women's Doubles,46,Nanako Hara/Riko Kiyose,,29030,,
Women's Doubles,47,Fan Ka Yan/Mau Ying Yau,,28600,,
Women's Doubles,48,Rutaparna Panda/Swetaparna Panda,,28080,,
Women's Doubles,49,Siti Sarah Azzahra/Az Zahra Ditya Ramadhani,,28060,,
Women's Doubles,50,Paulina Hankiewicz/Kornelia Marczak,,27997,,
Women's Doubles,51,Jaqueline Lima/Samia Lima,,27750,,
Women's Doubles,52,Phattharin Aiamvareesrisakul/Sarisa Janpeng,,27723,,
Women's Doubles,53,Chen Yan Fei/Sun Liang Ching,,27610,,
Women's Doubles,54,Chen Yu Hsuan/Liu Chiao-Yun,,27540,,
Women's Doubles,55,Kathrine Vang/Mette Werge,,26863,,
Women's Doubles,56,Abbygael Harris/Lizzie Tolman,,26640,,
Women's Doubles,57,Lanny Tria Mayasari/Apriyani Rahayu,,26260,,
Women's Doubles,58,Chong Jie Yu/Vanessa Ng,,25850,,
Women's Doubles,59,Lisa Curtin/Sian Kelly,,25705,,
Women's Doubles,60,China,,24840,,
Women's Doubles,61,Gronya Somerville/Angela Yu,,24667,,
Women's Doubles,62,Lanny Tria Mayasari/Amalia Cahaya Pratiwi,,24550,,
Women's Doubles,63,Natasja P Anthonisen/Amalie Cecilie Kudsk,,24310,,
Women's Doubles,64,Malena Norrman/Tilda Sjoo,,24267,,
Women's Doubles,65,Febriana Dwipuji Kusuma/Amallia Cahaya Pratiwi,,23826,,
Women's Doubles,66,Ornnicha Jongsathapornparn/Sukitta Suwachai,,23340,,
Women's Doubles,67,Sayaka Hirota/Ayako Sakuramoto,,23290,,
Women's Doubles,68,Simona Pilgaard/Signe Schulz,,23070,,
Women's Doubles,69,Su Yu Chen/Hsieh Yi En,,22320,,
Women's Doubles,70,Zi Yu Low/Noraqilah Maisarah,,22319,,
Women's Doubles,71,Kirsten de Wit/Meerte Loos,,21827,,
Women's Doubles,72,Nikol Carulla/Carmen Maria Jimenez,,21822,,
Women's Doubles,73,Nami Matsuyama/Chiharu Shida,,21500,,
Women's Doubles,74,Cheng Su Hui/Tan Zhing Yi,,21270,,
Women's Doubles,75,Teng Chun-hsun/Yang Chu Yun,,21190,,
Women's Doubles,76,Sumire Nakade/Miyu Takahashi,,21170,,
Women's Doubles,77,Martina Corsini/Emma Piccinin,,21012,,
Women's Doubles,78,Laudya Chelsea Griselda/Nozomi Shimizu,,20390,,
Women's Doubles,79,Kim Yu Jung/Lee Yu Lim,,20110,,
Women's Doubles,80,Chou Yun An/Sung Yi-Hsuan,,19990,,
Women's Doubles,81,Lærke Hvid/Anna Klausholm,,19950,,
Women's Doubles,82,Lucie Amiguet/Caroline Racloz,,19821,,
Women's Doubles,83,Selin Hubsch/Amelie Lehmann,,18725,,
Women's Doubles,84,Hsieh Mi Yen/Yu Chien Hui,,18630,,
Women's Doubles,85,Yasemen Bektas/Sinem Yildiz,,17650,,
Women's Doubles,86,Kim Min Ji/Ye Na Lee,,17640,,
Women's Doubles,87,Serena Au Yeong/Anna Hagspiel,,17140,,
Women's Doubles,88,Ho Lo Ee/Yap Amanda Hwa Leng,,16900,,
Women's Doubles,89,Elsa Jacob/Flavie Vallet,,16782,,
Women's Doubles,90,Aline Muller/Kelly van Buiten,,16630,,
Women's Doubles,91,Apriyani Rahayu/Siti Fadia Silva Ramadhanti,,16300,,
Women's Doubles,92,Kodchaporn Chaichana/Pannawee Polyiam,,16050,,
Women's Doubles,93,Vaishnavi Khadkekar/Alisha Khan,,15804,,
Women's Doubles,94,Bao Lijing/Luo Xumin,,15750,,
Women's Doubles,95,Fiona Hallberg/Elin Ohling,,15747,,
Women's Doubles,96,Aung Nicky Yemin/Sirapat Tepnarong,,15350,,
