category,rank,name,country,points,movement,profile
Women's Singles,1,An Se-young,South Korea,117787,,https://m.aiscore.com/badminton/player-an-se-young/wv78x6cvxv8tnkr
Women's Singles,2,Wang Zhiyi,China,106839,,https://m.aiscore.com/badminton/player-wang-zhiyi/vrqwnzc4epwtdqn
Women's Singles,3,Akane Yamaguchi,Japan,100426,,https://m.aiscore.com/badminton/player-akane-yamaguchi/vrqwnzc44gnudqn
Women's Singles,4,Chen Yufei,China,87651,,https://m.aiscore.com/badminton/player-chen-yufei/edq09gcl2pdi4qx
Women's Singles,5,Han Yue,China,82288,,https://m.aiscore.com/badminton/player-han-yue/oj7x9jcx3yzur7g
Women's Singles,6,Putri Kusuma Wardani,Indonesia,73473,,https://m.aiscore.com/badminton/player-putri-kusuma-wardani/69759ncglo1tnk2
Women's Singles,7,Ratchanok Intanon,Thailand,72246,,https://m.aiscore.com/badminton/player-ratchanok-intanon/jek33vc88y4hdko
Women's Singles,8,Pornpawee Chochuwong,Thailand,67977,,https://m.aiscore.com/badminton/player-pornpawee-chochuwong/69759ncgglounk2
Women's Singles,9,Tomoka Miyazaki,Japan,63646,,https://m.aiscore.com/badminton/player-tomoka-miyazaki/9gklz8c2wlxs17x
Women's Singles,10,Sindhu Pusarla Venkata,India,61401,,https://m.aiscore.com/badminton/player-sindhu-pusarla-venkata/8lk2d9crrvlc373
Women's Singles,11,Nozomi Okuhara,Japan,59060,,https://m.aiscore.com/badminton/player-nozomi-okuhara/8lk2d9crrnlu373
Women's Singles,12,Chiu Pin-Chian,Chinese Taipei,57498,,https://m.aiscore.com/badminton/player-chiu-pin-chian/xvkjozc806pcx79
Women's Singles,13,Michelle Li,Canada,55227,,https://m.aiscore.com/badminton/player-michelle-li/m2q156czz90cm76
Women's Singles,14,Kim Ga-eun,South Korea,54921,,https://m.aiscore.com/badminton/player-kim-ga-eun/ndqml6cw9j0bgkv
Women's Singles,15,Line Christophersen,Denmark,54060,,https://m.aiscore.com/badminton/player-line-christophersen/l6keg3c8yl0fg75
Women's Singles,16,Mia Blichfeldt,Denmark,53503,,https://m.aiscore.com/badminton/player-mia-blichfeldt/ndqml6cww2pagkv
Women's Singles,17,Sim Yu-Jin,South Korea,53354,,https://m.aiscore.com/badminton/player-sim-yu-jin/8lk2d9cr833s373
Women's Singles,18,Riko Gunji,Japan,53183,,https://m.aiscore.com/badminton/player-riko-gunji/j374oxcr28gtrqo
Women's Singles,19,Lin Hsiang Ti,Chinese Taipei,51449,,https://m.aiscore.com/badminton/player-lin-hsiang-ti/jr7owrcpd8zs3q0
Women's Singles,20,Busanan Ongbamrungphan,Thailand,50407,,https://m.aiscore.com/badminton/player-busanan-ongbamrungphan/jek33vc8834sdko
Women's Singles,21,Line Høejmark Kjaersfeldt,Denmark,50173,,https://m.aiscore.com/badminton/player-line-hejmark-kjaersfeldt/j374oxc009zbrqo
Women's Singles,22,Hina Akechi,Japan,49670,,https://m.aiscore.com/badminton/player-hina-akechi/jr7owrc9o5yh3q0
Women's Singles,23,Pitchamon Opatniputh,Thailand,49248,,https://m.aiscore.com/badminton/player-pitchamon-opatniputh/wv78x6cyr4junkr
Women's Singles,24,Unnati Hooda,India,48580,,https://m.aiscore.com/badminton/player-unnati-hooda/j374oxc6moetrqo
Women's Singles,25,Supanida Katethong,Thailand,44772,,https://m.aiscore.com/badminton/player-supanida-katethong/ezk96jc3jy5cwkn
Women's Singles,26,Nguyen Thuy Linh,Vietnam,44240,,https://m.aiscore.com/badminton/player-nguyen-thuy-linh-/wv78x6cv62vcnkr
Women's Singles,27,Karupathevan Letshanaa,Malaysia,43302,,https://m.aiscore.com/badminton/player-karupathevan-letshanaa/ndkz69c2j1lueq3
Women's Singles,28,Huang Yu-Hsun,Chinese Taipei,43244,,https://m.aiscore.com/badminton/player-huang-yu-hsun/34kgm3copy4a8ko
Women's Singles,29,Neslihan Yigit,Turkey,43199,,https://m.aiscore.com/badminton/player-neslihan-yigit/vmqy98cvvrph4k9
Women's Singles,30,Natsuki Nidaira,Japan,42960,,https://m.aiscore.com/badminton/player-natsuki-nidaira/69759ncgr54unk2
Women's Singles,31,Zhang Beiwen,USA,42826,,https://m.aiscore.com/badminton/player-zhang-beiwen/l6keg3c8881sg75
Women's Singles,32,Devika Sihag,India,41124,,https://m.aiscore.com/badminton/player-devika-sihag/527r3dczydei87e
Women's Singles,33,Han Qianxi,China,40971,,https://m.aiscore.com/badminton/player-han-qianxi/edq09gcrg39u4qx
Women's Singles,34,Kirsty Gilmour,Scotland,40250,,https://m.aiscore.com/badminton/player-kirsty-gilmour/edq09gcllywt4qx
Women's Singles,35,Tanvi Sharma,India,39295,,https://m.aiscore.com/badminton/player-tanvi-sharma/wv78x6c0oejbnkr
Women's Singles,36,Isharani Baruah,India,37869,,https://m.aiscore.com/badminton/player-isharani-baruah/jek33vcp0wgidko
Women's Singles,37,Wong Ling Ching,Malaysia,37741,,https://m.aiscore.com/badminton/player-wong-ling-ching/527r3dc2dnvt87e
Women's Singles,38,Sung Shuo Yun,Chinese Taipei,37605,,https://m.aiscore.com/badminton/player-sung-shuo-yun/ezk96jc3j0vbwkn
Women's Singles,39,Yeo Jia Min,Singapore,37403,,https://m.aiscore.com/badminton/player-yeo-jia-min/zrkn68c413vfnql
Women's Singles,40,Kaloyana Nalbantova,Bulgaria,36687,,https://m.aiscore.com/badminton/player-kaloyana-nalbantova/69759ncgn9pank2
Women's Singles,41,Amalie Schulz,Denmark,36597,,https://m.aiscore.com/badminton/player-amalie-schulz/527r3dc4w1ea87e
Women's Singles,42,Ciou-Tong Tung,Chinese Taipei,35710,,https://m.aiscore.com/badminton/player-ciou-tong-tung/m2q156cz5nwam76
Women's Singles,43,Malvika Bansod,India,34295,,https://m.aiscore.com/badminton/player-malvika-bansod/o07dn3c5v4zt9kn
Women's Singles,44,Polina Buhrova,Ukraine,33714,,https://m.aiscore.com/badminton/player-polina-buhrova/j374oxc4lynhrqo
Women's Singles,45,Anmol Kharb,India,33340,,https://m.aiscore.com/badminton/player-anmol-kharb/rqwnzco1d91sdqn
Women's Singles,46,Rakshitha Sree Santhosh Ramraj,India,33227,,https://m.aiscore.com/badminton/player-rakshitha-sree-santhosh-ramraj/wv78x6cy4rmankr
Women's Singles,47,Yvonne Li,Germany,33141,,https://m.aiscore.com/badminton/player-yvonne-li/g6763zc52jzbp7r
Women's Singles,48,Zhang Wenyu,Canada,32509,,https://m.aiscore.com/badminton/player-zhang-wenyu-/527r3dcrp0gc87e
Women's Singles,49,Hsu Wen-chi,Chinese Taipei,32472,,https://m.aiscore.com/badminton/player-hsu-wen-chi/zrkn68c438xfnql
Women's Singles,50,Rachel Chan,Canada,32347,,https://m.aiscore.com/badminton/player-rachel-chan/vrqwnzc2vjpidqn
Women's Singles,51,Park Ga Eun,South Korea,32213,,https://m.aiscore.com/badminton/player-park-ga-eun/l6keg3c8ymzfg75
Women's Singles,52,Julie Dawall Jakobsen,Denmark,31769,,https://m.aiscore.com/badminton/player-julie-dawall-jakobsen/g6763zc52xvip7r
Women's Singles,53,Ashmita Chaliha,India,31730,,https://m.aiscore.com/badminton/player-ashmita-chaliha/o17pj3coj25h27j
Women's Singles,54,Tanya Hemanth,India,31630,,https://m.aiscore.com/badminton/player-tanya-hemanth/g6763zcpv8zip7r
